ht_ppg,ht_rpg,ht_apg,ht_spg,ht_bpg,ht_topg,ho_ppg,ho_rpg,ho_apg,ho_spg,ho_bpg,ho_topg,h_ortg,h_drtg,h_efg,h_tov,h_oreb,h_ftf,at_ppg,at_rpg,at_apg,at_spg,at_bpg,at_topg,ao_ppg,ao_rpg,ao_apg,ao_spg,ao_bpg,ao_topg,a_ortg,a_drtg,a_efg,a_tov,a_reb,a_ftf,act_spread
102.559,41.1471,25.2647,8.7647,4.7647,13.5,97.5588,43.2941,24,7.2059,4.9118,15.2059,111.252,105.319,0.495146,0.159061,0.246696,0.201456,101.853,42.1176,22.8529,8.2059,4.2647,12.1765,97.5588,42.7647,20.1471,6.9118,5.5,14.5,110.631,107.018,0.55829,0.148647,0.211111,0.217617,-5
102.472,41.25,25.1944,8.8333,4.6944,13.6111,97.3889,43.25,23.8889,7.3333,4.8333,15.1389,111.17,105.021,0.486936,0.140922,0.234043,0.204276,99.8611,42.9167,24.9722,7.9444,4.9722,13.8333,96.9722,40.8056,17.8056,7.9444,4.3889,14.3889,109.226,104.82,0.5466,0.132579,0.237113,0.161209,-4
103.317,41,25.8293,8.9756,4.7561,13.4634,96.6098,42.6585,23.7073,7.1707,4.8049,15.3171,112.582,104.575,0.49878,0.136882,0.274038,0.187805,97.878,45.4634,21.122,7.8293,4.6098,12.7073,99.561,44.9512,23.5854,7.2195,4.9268,13.8537,106.263,108.175,0.519185,0.120838,0.236364,0.17506,-8
103.071,41.0238,25.9524,8.9524,4.6667,13.381,96.2619,43.0952,23.5476,7.1429,4.7381,15.381,112.327,104.323,0.483951,0.142692,0.233333,0.165432,94.9767,45.4186,20.7209,6,4.6744,13.8605,96.9535,42.7674,20.2093,7.907,5.0698,12.1163,102.642,105.807,0.466825,0.129562,0.237069,0.203791,-11
103.233,41.0698,26.0465,9.0233,4.6279,13.4419,96.1395,43.0698,23.5116,7.1395,4.6744,15.4419,112.479,104.157,0.506142,0.138718,0.222222,0.17199,100.19,46.881,20.1667,7.1905,5.7857,14.3571,98.5714,42.5714,22.0476,7.7381,4.5238,13.1429,106.963,105.936,0.504556,0.128709,0.227848,0.191344,-4
103.227,41.2045,26.0682,8.9545,4.6364,13.5,96.0682,42.9091,23.5,7.2273,4.7273,15.3409,112.497,104.06,0.519656,0.138835,0.212871,0.174447,97.5476,40.8095,22.4048,8.7143,4.2143,14.2619,107.405,43.2381,23.2143,8.0238,5.7381,15.2143,103.429,114.889,0.470522,0.109878,0.286364,0.145125,-18
103.422,40.9333,26.1556,8.9333,4.6444,13.4222,96.1556,42.7778,23.5111,7.1556,4.6667,15.2889,112.858,104.449,0.551852,0.127441,0.19898,0.17284,94.9545,41.7727,20.4545,7.2955,4.25,14.1591,98.6591,43.9318,23,7.9545,4.6591,13.5909,103.87,108.776,0.537407,0.1401,0.231579,0.174564,-14
103.63,41.0217,26.2174,8.8261,4.6304,13.3696,96.2826,42.6087,23.5652,7.1304,4.6739,15.1304,113.163,104.633,0.555283,0.122884,0.22449,0.194103,102.804,45.5435,22.3913,6.8261,5.0652,13.2391,97.2174,45.3043,19.7391,7.8913,3.4565,12.3478,109.886,104.278,0.481859,0.102926,0.234043,0.185941,-5
103.66,41.0426,26.2128,8.8936,4.617,13.3617,96.3404,42.6809,23.5957,7.1277,4.6383,15.1702,113.086,104.604,0.565111,0.127119,0.237113,0.203931,89.7447,41.7872,20.0851,9.8723,6.0851,17.6596,101.383,46.2979,24.5532,10.3404,5.5745,16.6596,96.0064,107.915,0.501256,0.153386,0.306533,0.198492,-17
103.326,40.9184,25.9388,8.7755,4.5918,13.1837,96.4898,42.898,23.6735,7.0816,4.7347,15.102,112.906,104.948,0.55122,0.114323,0.262626,0.204878,99.9184,43.8163,24.449,7.4694,4.7755,14.3265,98.0408,40.5714,18.9592,8.0408,4.1633,13.3878,108.728,105.15,0.481651,0.11399,0.219828,0.222477,-6
103.36,41.02,25.9,8.74,4.54,13.2,96.48,42.86,23.58,7.08,4.68,15.04,112.906,104.906,0.535366,0.12022,0.253589,0.219512,111.362,44.9574,27.3404,9.383,6.1702,14.617,99.7872,45.1915,20.5106,8.5957,3.617,15.7447,115.217,102.095,0.518519,0.121511,0.248908,0.163399,2
103.426,40.8519,25.7222,8.8148,4.5741,13.1296,96.8148,43.6111,23.5741,7.0741,4.7593,14.8704,112.833,105.105,0.473563,0.11534,0.292373,0.241379,105.604,41.8868,21.0377,7.4717,4.5094,12.1698,100.736,42.2453,22.717,6.6226,5.0755,14.1132,114.266,109.492,0.485602,0.12403,0.231527,0.267016,-6
102.893,41.0893,25.5536,8.7857,4.6786,13.4107,96.7679,43.6607,23.5536,7.2679,4.875,15,112.01,105.024,0.420091,0.146674,0.331967,0.196347,105.763,42.4915,22.8136,8.339,4.8136,12.3051,100.525,46.0169,21.9492,7.1864,3.6441,15.6102,113.463,107.396,0.489183,0.153542,0.252336,0.206731,-9
102.912,41.0877,25.5965,8.7544,4.6316,13.3684,96.5965,43.6667,23.4912,7.1404,4.8421,15,112.086,104.954,0.445476,0.149098,0.316239,0.185615,95.678,40.9322,20.339,7.4407,3.5932,14.3729,101.152,43.322,23.3729,7.8475,5.4915,13.5763,104.311,109.832,0.493622,0.149448,0.257282,0.219388,-11
102.61,41.0339,25.5763,8.8475,4.6441,13.5254,96.3559,43.661,23.3559,7.2712,4.8475,15.1695,111.761,104.689,0.469287,0.18024,0.280374,0.181818,103.288,43.6949,21.8305,9.7288,4.7966,16.2542,99.7288,43.2881,20.9322,8.9492,5.339,15.8814,108.635,104.908,0.496462,0.140895,0.264069,0.252358,-9
102.633,41.1667,25.5333,8.75,4.6667,13.55,96.35,43.6167,23.4667,7.25,4.8667,15.1167,111.677,104.645,0.496296,0.170183,0.257426,0.192593,102.825,43.1587,21.8889,7.3968,4.1429,13.2857,98.6508,41.3968,24.1429,7.5714,4.7143,12.6984,112.684,109.138,0.533835,0.119848,0.219388,0.260652,2
102.387,41.129,25.4677,8.7581,4.7258,13.6129,96.2903,43.6935,23.3871,7.3548,4.8548,15.1613,111.427,104.577,0.489461,0.152805,0.284404,0.163934,100.623,44.7377,19.623,6.4754,3.9508,15.918,104.656,40.4918,23.0328,8.8852,6.0492,12.0984,106.496,110.987,0.529904,0.125196,0.188482,0.208134,-11
102.71,40.6377,25.4348,8.9275,4.7391,13.5217,97.1449,43.8406,23.5797,7.3623,4.9275,15.4203,111.668,105.373,0.525485,0.162385,0.29064,0.194175,102.368,43.4412,24.2059,7.8824,5.5,13.4118,97.8824,42.8088,20.9559,7.8529,4.6324,13.4118,109.959,105.264,0.552009,0.11731,0.238806,0.210402,-2
102.493,40.5352,25.3662,8.9859,4.7465,13.5775,97.1831,43.8028,23.6056,7.3662,4.8873,15.4507,111.451,105.457,0.539312,0.158843,0.228426,0.194103,94.662,38.7465,20.0704,8.1408,4.4085,13.9155,96.7042,40.6761,21.4789,7.7746,4.338,14.3099,107.095,108.444,0.501208,0.143925,0.328571,0.166667,-8
102.411,40.4384,25.5342,8.9863,4.726,13.5616,97.274,43.7397,23.6164,7.3425,4.9178,15.3836,111.407,105.642,0.545685,0.13961,0.2,0.215736,97.7945,42.1096,23.2603,9.4932,4.9589,16,97.6438,42.9178,22.2055,8.6849,4.7534,16.3562,105.472,104.599,0.487028,0.155965,0.278761,0.238208,-9
102.293,40.4933,25.5733,8.92,4.6533,13.5733,97.2533,43.6,23.68,7.3467,4.8933,15.2667,111.427,105.858,0.531888,0.125478,0.223958,0.219388,97.9333,42.2133,20.7867,7.0267,4.2,13.4667,100.747,44.36,23.4,7.7867,4.5067,13.0267,106.452,109.976,0.535545,0.0981449,0.239024,0.199052,-11
