Team,Game,Date,Opponent,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
CHI,72,3/23/2015,CHO,98,86,37,82,0.451,3,16,0.188,21,29,0.724,6,46,21,5,7,6,20,28,81,0.346,8,20,0.4,22,28,0.786,11,51,11,2,8,10,25
CHI,74,3/28/2015,NYK,111,80,43,84,0.512,6,17,0.353,19,22,0.864,12,51,28,8,5,12,16,30,79,0.38,4,17,0.235,16,19,0.842,9,35,22,7,7,13,18
CHI,76,4/3/2015,DET,88,82,33,85,0.388,4,17,0.235,18,21,0.857,19,44,18,9,5,10,15,32,74,0.432,6,19,0.316,12,15,0.8,11,42,14,9,12,18,20
CHI,80,4/11/2015,PHI,114,107,40,90,0.444,9,26,0.346,25,36,0.694,13,48,20,8,5,10,20,37,89,0.416,13,41,0.317,20,25,0.8,14,47,19,5,3,15,29
CHI,82,4/15/2015,ATL,91,85,31,77,0.403,7,24,0.292,22,26,0.846,7,50,14,11,9,21,12,36,92,0.391,8,29,0.276,5,7,0.714,10,42,15,10,10,15,19
CLE,1,10/30/2014,NYK,90,95,32,70,0.457,9,24,0.375,17,20,0.85,11,33,22,5,2,19,15,37,69,0.536,6,12,0.5,15,18,0.833,9,35,30,9,1,15,26
CLE,6,11/10/2014,NOP,118,111,40,81,0.494,13,27,0.481,25,30,0.833,12,45,26,3,5,9,13,41,93,0.441,12,27,0.444,17,20,0.85,14,40,31,8,5,5,20
CLE,8,11/15/2014,ATL,127,94,49,90,0.544,19,31,0.613,10,13,0.769,12,47,39,12,2,13,14,40,90,0.444,3,22,0.136,11,13,0.846,11,37,26,6,8,18,12
CLE,9,11/17/2014,DEN,97,106,34,79,0.43,10,29,0.345,19,23,0.826,9,42,18,7,8,15,15,41,85,0.482,12,31,0.387,12,15,0.8,9,39,25,10,4,15,18
CLE,10,11/19/2014,SAS,90,92,37,83,0.446,7,18,0.389,9,13,0.692,10,38,23,7,5,16,21,35,74,0.473,5,16,0.313,17,25,0.68,10,42,26,11,4,15,20
CLE,12,11/22/2014,TOR,93,110,35,81,0.432,3,16,0.188,20,29,0.69,11,46,24,4,6,18,28,32,80,0.4,8,24,0.333,38,42,0.905,8,34,20,8,6,8,26
CLE,13,11/24/2014,ORL,106,74,42,81,0.519,6,16,0.375,16,22,0.727,12,44,30,14,9,12,23,29,80,0.363,5,17,0.294,11,15,0.733,13,40,14,5,3,17,17
CLE,14,11/26/2014,WAS,113,87,38,74,0.514,6,20,0.3,31,38,0.816,7,32,23,13,2,9,18,33,71,0.465,5,13,0.385,16,22,0.727,7,26,24,5,5,18,28
CLE,15,11/29/2014,IND,109,97,41,78,0.526,7,16,0.438,20,32,0.625,9,44,20,4,6,9,20,35,89,0.393,7,22,0.318,20,26,0.769,15,48,26,2,1,7,23
CLE,16,12/2/2014,MIL,111,108,39,73,0.534,6,21,0.286,27,38,0.711,7,40,22,5,5,19,17,45,92,0.489,7,20,0.35,11,13,0.846,12,40,31,11,3,13,26
CLE,20,12/9/2014,TOR,105,101,39,79,0.494,9,26,0.346,18,21,0.857,12,31,27,4,5,11,17,42,82,0.512,7,23,0.304,10,10,1,12,35,26,4,3,15,24
CLE,23,12/15/2014,CHO,97,88,38,83,0.458,9,24,0.375,12,17,0.706,8,43,28,10,5,10,14,38,83,0.458,5,16,0.313,7,14,0.5,5,37,22,4,5,10,14
CLE,24,12/17/2014,ATL,98,127,37,82,0.451,8,30,0.267,16,21,0.762,10,33,24,3,0,8,17,49,76,0.645,16,28,0.571,13,16,0.813,6,40,36,3,5,9,17
CLE,25,12/19/2014,BRK,95,91,31,77,0.403,9,24,0.375,24,29,0.828,11,44,22,7,4,16,16,37,78,0.474,9,24,0.375,8,12,0.667,4,37,23,8,8,16,26
CLE,26,12/21/2014,MEM,105,91,46,76,0.605,7,14,0.5,6,10,0.6,4,33,34,2,4,14,19,39,86,0.453,1,16,0.063,12,15,0.8,12,38,25,8,3,9,16
CLE,27,12/23/2014,MIN,125,104,44,84,0.524,12,24,0.5,25,31,0.806,12,38,24,11,6,17,23,39,88,0.443,4,13,0.308,22,29,0.759,16,40,25,13,9,18,23
CLE,30,12/28/2014,DET,80,103,31,82,0.378,5,29,0.172,13,17,0.765,10,46,25,4,5,17,15,41,91,0.451,17,31,0.548,4,9,0.444,14,47,21,12,6,10,21
CLE,32,12/31/2014,MIL,80,96,29,85,0.341,8,31,0.258,14,16,0.875,13,49,19,5,5,12,16,40,90,0.444,11,25,0.44,5,10,0.5,13,54,25,10,6,10,18
CLE,34,1/4/2015,DAL,90,109,35,86,0.407,8,25,0.32,12,17,0.706,12,38,26,6,3,12,14,44,78,0.564,12,26,0.462,9,11,0.818,4,36,30,7,8,10,20
CLE,36,1/7/2015,HOU,93,105,34,82,0.415,10,29,0.345,15,19,0.789,13,37,16,9,4,15,18,39,86,0.453,12,34,0.353,15,24,0.625,19,50,26,9,3,17,22
