ht_ppg,ht_rpg,ht_apg,ht_spg,ht_bpg,ht_topg,ho_ppg,ho_rpg,ho_apg,ho_spg,ho_bpg,ho_topg,h_ortg,h_drtg,h_efg,h_tov,h_oreb,h_ftf,at_ppg,at_rpg,at_apg,at_spg,at_bpg,at_topg,ao_ppg,ao_rpg,ao_apg,ao_spg,ao_bpg,ao_topg,a_ortg,a_drtg,a_efg,a_tov,a_reb,a_ftf,act_spread,vegas_ou
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.50241,0.120996,0.219298,0.175904,106.719,42.622,24.7683,7.8049,4.9878,11.7927,100.134,42.8902,23.2195,6.6829,2.9878,13.5732,115.06,108.046,0.575758,0.132235,0.255319,0.25,-2,-3
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.495204,0.11746,0.223176,0.201439,97.8415,42.0732,23.561,9.622,4.9146,15.9634,97.4146,42.8537,22.3293,8.6341,4.7805,16.5976,105.549,104.259,0.529337,0.161458,0.278607,0.247449,-9,30
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.480392,0.159721,0.251082,0.186275,103.134,42.9634,22.122,7.3537,4.1463,13.6341,98.6585,41.122,24.0732,7.8293,4.4878,12.7073,112.985,109.106,0.54386,0.146404,0.237569,0.165414,-7,-8
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.495146,0.159061,0.246696,0.201456,98.3171,42.561,21.6707,8.5366,4.2317,12.9756,95.0732,42.439,20.1463,7.3659,5.1707,14.6098,107.757,104.86,0.55829,0.148647,0.211111,0.217617,-5,-10
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.486936,0.140922,0.234043,0.204276,98.5366,44.6707,24.0122,7.3293,4.6098,14.378,97.8171,41.7073,19.9268,7.9878,4.2683,13.3049,106.803,104.853,0.5466,0.132579,0.237113,0.161209,-4,-31
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.49878,0.136882,0.274038,0.187805,98.5,44.8902,21.5976,7.5976,4.6707,12.6463,99.5,44.1098,23.7683,6.9756,4.7683,13.3537,107.415,109.205,0.519185,0.120838,0.236364,0.17506,-8,-11
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.483951,0.142692,0.233333,0.165432,97.3293,44.8537,21.4268,6.1585,4.5732,13.3293,97.0488,42.7317,19.9146,7.5244,4.7073,12.1463,105.764,105.756,0.466825,0.129562,0.237069,0.203791,-11,-19
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.506142,0.138718,0.222222,0.17199,103.951,47.5122,20.5,7.2927,5.5366,14.0244,101.768,42.7317,22.1341,7.8293,4.5976,12.9146,109.541,108.223,0.504556,0.128709,0.227848,0.191344,-4,-10
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.519656,0.138835,0.212871,0.174447,97.7561,40.9146,21.5976,8.1463,3.9878,14.2927,106.549,43.561,23.5732,8.3659,5.4756,14.6463,104.749,114.756,0.470522,0.109878,0.286364,0.145125,-18,-12
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.551852,0.127441,0.19898,0.17284,98.0244,42.3537,20.9268,7.0244,4.1463,13.3902,100.902,44.3415,23.7073,7.8415,4.5366,13.0488,106.587,110.283,0.537407,0.1401,0.231579,0.174564,-14,-11
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.555283,0.122884,0.22449,0.194103,102.793,45.8537,21.939,6.4024,4.5366,13.2561,98.561,44.5854,20.3537,7.9878,3.622,11.622,110.357,106.194,0.481859,0.102926,0.234043,0.185941,-5,-6
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.565111,0.127119,0.237113,0.203931,91.9756,42.8537,20.5244,9.622,5.939,16.9024,100.951,46.2561,23.6829,9.5,5.5366,15.9268,97.6621,107.235,0.501256,0.153386,0.306533,0.198492,-17,-6
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.55122,0.114323,0.262626,0.204878,98.5366,44.6707,24.0122,7.3293,4.6098,14.378,97.8171,41.7073,19.9268,7.9878,4.2683,13.3049,106.803,104.853,0.481651,0.11399,0.219828,0.222477,-6,-9
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.535366,0.12022,0.253589,0.219512,109.951,44.7195,27.4146,9.2927,6.0488,14.0976,99.8537,44.5488,20.9512,8.2927,3.5732,15.5366,114.645,103.011,0.518519,0.121511,0.248908,0.163399,2,-8
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.473563,0.11534,0.292373,0.241379,103.988,41.5488,20.7439,7.5,4.3537,12.1951,100.915,42.4512,22.8049,6.9146,5.0366,13.7561,113.379,109.959,0.485602,0.12403,0.231527,0.267016,-6,25
102.549,40.561,25.7439,9.0732,4.6341,13.4512,97.122,43.6463,23.5488,7.3659,4.9268,15.4024,111.579,105.593,0.420091,0.146674,0.331967,0.196347,105.219,42.2683,22.5122,8.0854,4.5244,12.5488,102.317,46.1463,22.3171,7.3415,3.8293,15.5122,112.093,108.935,0.489183,0.153542,0.252336,0.206731,-9,-17
